# timestamp tx ty tz qx qy qz qw
1679941043.709000 -50.271644 -2.173877 22.960535 -0.135987 0.453444 0.007841 0.880815
1679941043.774000 -50.745663 -2.243423 22.082771 -0.135950 0.455175 0.007699 0.879928
1679941043.844000 -50.350280 -1.890897 22.930944 -0.135264 0.457274 0.007451 0.878947
1679941044.073000 -49.620434 -1.923409 22.248106 -0.135485 0.467898 0.005598 0.873318
1679941044.107000 -48.998213 -1.668021 22.988119 -0.135068 0.470291 0.006341 0.872091
1679941044.141000 -49.944530 -1.900337 22.763367 -0.136379 0.472737 0.004657 0.870574
1679941044.375000 -50.432879 -1.814215 21.894979 -0.138458 0.477698 0.008558 0.867502
1679941044.474000 -49.555789 -1.632103 22.339443 -0.143580 0.478860 0.015473 0.865932
1679941044.509000 -48.668110 -1.591979 22.798155 -0.146330 0.478917 0.017717 0.865397
1679941044.541000 -47.894360 -1.814989 23.391095 -0.149731 0.478989 0.018784 0.864753
1679941044.577000 -47.046798 -1.451910 23.778149 -0.149731 0.479550 0.019956 0.864415
1679941044.674000 -46.240581 -1.128707 24.273683 -0.150431 0.482183 0.022997 0.862752
1679941044.808000 -47.217372 -1.311334 24.161761 -0.150253 0.484439 0.025003 0.861463
1679941044.876000 -47.647364 -1.307839 23.258935 -0.150414 0.485125 0.025581 0.861031
1679941044.944000 -48.595354 -1.606413 23.148629 -0.147877 0.488773 0.027225 0.859355
1679941045.008000 -47.907571 -1.270789 23.792300 -0.144606 0.490846 0.020457 0.858918
1679941045.109000 -48.846517 -1.555261 23.985839 -0.143752 0.498133 0.014436 0.854980
1679941045.310000 -48.365620 -1.732888 23.127243 -0.151489 0.488301 0.015954 0.859278
1679941045.408000 -49.349775 -1.815506 23.284129 -0.150731 0.488870 0.022286 0.858947
1679941045.476000 -48.836976 -1.502221 24.083435 -0.147397 0.491973 0.026524 0.857632
1679941045.540000 -49.409966 -1.566521 24.900470 -0.142642 0.505228 0.033401 0.850460
1679941045.642000 -49.966181 -2.326071 25.237677 -0.145674 0.514583 0.045878 0.843729
1679941045.740000 -50.781645 -2.578653 25.758465 -0.146449 0.519856 0.046705 0.840310
1679941045.843000 -50.179333 -2.161833 26.439260 -0.139580 0.524028 0.051209 0.838624
1679941046.008000 -50.868470 -2.359316 27.136462 -0.140846 0.528767 0.051318 0.835424
1679941046.240000 -49.896611 -2.176959 26.987345 -0.146681 0.525546 0.049313 0.836573
1679941046.307000 -50.576442 -2.129933 26.255485 -0.149918 0.522229 0.047656 0.838171
1679941046.474000 -49.754107 -2.079463 25.688723 -0.153002 0.518067 0.053314 0.839854
1679941046.640000 -50.161565 -2.098689 26.601745 -0.154089 0.555392 0.058327 0.815104
1679941046.673000 -50.998716 -2.524230 26.258098 -0.157547 0.557664 0.059838 0.812779
1679941046.806000 -51.708699 -3.221403 26.158729 -0.157132 0.561281 0.065057 0.809963
1679941046.875000 -51.917623 -2.744907 27.012721 -0.155094 0.571067 0.061149 0.803797
1679941047.006000 -51.139497 -2.311988 27.467805 -0.160570 0.577106 0.057388 0.798669
1679941047.143000 -51.290567 -2.179725 28.447440 -0.159662 0.591273 0.056821 0.788464
1679941047.241000 -50.425099 -1.914889 28.872677 -0.159887 0.594177 0.056786 0.786235
1679941047.274000 -49.707496 -1.422167 29.364888 -0.156763 0.597273 0.054434 0.784683
1679941047.310000 -48.839853 -1.048255 29.692585 -0.153708 0.599009 0.051910 0.784135
1679941047.407000 -48.840774 -0.544159 30.556232 -0.136717 0.625448 0.038771 0.767215
1679941047.642000 -47.849151 -0.612873 30.665609 -0.132906 0.625296 0.050901 0.767300
1679941047.678000 -46.917926 -0.566470 30.304131 -0.131299 0.625509 0.051938 0.767334
1679941047.908000 -46.797417 -0.080528 31.169774 -0.131310 0.635511 0.047409 0.759365
1679941047.974000 -47.778598 -0.206090 31.316462 -0.133421 0.635703 0.046961 0.758864
1679941048.073000 -48.740484 -0.450605 31.438891 -0.130548 0.638045 0.045221 0.757503
1679941048.175000 -48.894457 -0.135141 32.375253 -0.125432 0.656496 0.041834 0.742650
1679941048.209000 -49.858837 -0.388464 32.451397 -0.124957 0.657964 0.044189 0.741294
1679941048.340000 -49.886392 0.268499 33.204816 -0.099142 0.682468 0.032663 0.723423
1679941048.407000 -49.741172 1.118907 33.710501 -0.082432 0.694087 0.026310 0.714672
